»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,≥…Ωª¡ø,≥…ΩªΩ∂Ó
2019-07-01,'000717,…ÿ∏÷À……Ω,4.54,4.58,4.49,4.55,4.43,0.11,2.4831,23109876,104728254.9
2019-06-28,'000717,…ÿ∏÷À……Ω,4.43,4.54,4.39,4.53,4.53,-0.1,-2.2075,16825647,74704409.74
2019-06-27,'000717,…ÿ∏÷À……Ω,4.53,4.6,4.5,4.51,4.5,0.03,0.6667,20664689,93806537.5
2019-06-26,'000717,…ÿ∏÷À……Ω,4.5,4.52,4.42,4.45,4.48,0.02,0.4464,16548515,74280943.99
2019-06-25,'000717,…ÿ∏÷À……Ω,4.48,4.59,4.44,4.58,4.58,-0.1,-2.1834,28737187,129144876.75
2019-06-24,'000717,…ÿ∏÷À……Ω,4.58,4.79,4.45,4.45,4.42,0.16,3.6199,60493427,279766941.59
2019-06-21,'000717,…ÿ∏÷À……Ω,4.42,4.44,4.37,4.39,4.38,0.04,0.9132,24823022,109548173.75
2019-06-20,'000717,…ÿ∏÷À……Ω,4.38,4.4,4.28,4.33,4.33,0.05,1.1547,31692652,138103551.5
2019-06-19,'000717,…ÿ∏÷À……Ω,4.33,4.38,4.29,4.35,4.23,0.1,2.3641,23529610,101638028.67
2019-06-18,'000717,…ÿ∏÷À……Ω,4.23,4.27,4.2,4.25,4.24,-0.01,-0.2358,10173535,43080541.7
2019-06-17,'000717,…ÿ∏÷À……Ω,4.24,4.28,4.19,4.24,4.23,0.01,0.2364,14925102,63163336.48
2019-06-14,'000717,…ÿ∏÷À……Ω,4.23,4.36,4.23,4.34,4.32,-0.09,-2.0833,18888537,81151729.87
2019-06-13,'000717,…ÿ∏÷À……Ω,4.32,4.36,4.26,4.36,4.32,0.0,0.0,15964440,68810657.8
2019-06-12,'000717,…ÿ∏÷À……Ω,4.32,4.43,4.31,4.37,4.38,-0.06,-1.3699,23266843,101572118.34
2019-06-11,'000717,…ÿ∏÷À……Ω,4.38,4.43,4.14,4.16,4.13,0.25,6.0533,42453749,182855631.21
2019-06-10,'000717,…ÿ∏÷À……Ω,4.13,4.16,4.08,4.14,4.14,-0.01,-0.2415,18264009,75427553.27
2019-06-06,'000717,…ÿ∏÷À……Ω,4.14,4.32,4.13,4.31,4.31,-0.17,-3.9443,21678623,90730288.14
2019-06-05,'000717,…ÿ∏÷À……Ω,4.31,4.38,4.3,4.37,4.31,0.0,0.0,11640242,50424503.52
2019-06-04,'000717,…ÿ∏÷À……Ω,4.31,4.45,4.28,4.44,4.44,-0.13,-2.9279,22651681,98346884.42
2019-06-03,'000717,…ÿ∏÷À……Ω,4.44,4.55,4.43,4.52,4.52,-0.08,-1.7699,19307373,86292536.39
2019-05-31,'000717,…ÿ∏÷À……Ω,4.52,4.58,4.51,4.54,4.55,-0.03,-0.6593,14857732,67494381.45
2019-05-30,'000717,…ÿ∏÷À……Ω,4.55,4.62,4.51,4.57,4.61,-0.06,-1.3015,17443306,79349087.12
2019-05-29,'000717,…ÿ∏÷À……Ω,4.61,4.67,4.58,4.6,4.63,-0.02,-0.432,15856000,73420711.0
2019-05-28,'000717,…ÿ∏÷À……Ω,4.63,4.72,4.61,4.66,4.67,-0.04,-0.8565,18834196,87881059.4
2019-05-27,'000717,…ÿ∏÷À……Ω,4.67,4.68,4.55,4.57,4.57,0.1,2.1882,19240999,89025706.44
2019-05-24,'000717,…ÿ∏÷À……Ω,4.57,4.63,4.55,4.58,4.6,-0.03,-0.6522,13574893,62178458.31
2019-05-23,'000717,…ÿ∏÷À……Ω,4.6,4.71,4.55,4.67,4.7,-0.1,-2.1277,21098311,97593056.65
2019-05-22,'000717,…ÿ∏÷À……Ω,4.7,4.83,4.67,4.7,4.73,-0.03,-0.6342,28993721,137735917.72
2019-05-21,'000717,…ÿ∏÷À……Ω,4.73,4.73,4.55,4.61,4.58,0.15,3.2751,28089124,130623739.37
2019-05-20,'000717,…ÿ∏÷À……Ω,4.58,4.64,4.46,4.63,4.62,-0.04,-0.8658,24026400,108907648.02
2019-05-17,'000717,…ÿ∏÷À……Ω,4.62,4.82,4.6,4.81,4.84,-0.22,-4.5455,33745312,158732679.02
2019-05-16,'000717,…ÿ∏÷À……Ω,4.84,4.92,4.69,4.69,4.71,0.13,2.7601,41366976,199312806.81
2019-05-15,'000717,…ÿ∏÷À……Ω,4.71,4.72,4.64,4.64,4.61,0.1,2.1692,22776014,106790952.58
2019-05-14,'000717,…ÿ∏÷À……Ω,4.61,4.66,4.57,4.62,4.66,-0.05,-1.073,19885002,91820375.99
2019-05-13,'000717,…ÿ∏÷À……Ω,4.66,4.74,4.65,4.73,4.78,-0.12,-2.5105,21922573,102893779.94
2019-05-10,'000717,…ÿ∏÷À……Ω,4.78,4.79,4.62,4.7,4.68,0.1,2.1368,30833290,146305999.98
2019-05-09,'000717,…ÿ∏÷À……Ω,4.68,4.75,4.67,4.7,4.74,-0.06,-1.2658,16791323,78962535.86
2019-05-08,'000717,…ÿ∏÷À……Ω,4.74,4.81,4.64,4.68,4.79,-0.05,-1.0438,25125276,119272539.1
2019-05-07,'000717,…ÿ∏÷À……Ω,4.79,4.86,4.67,4.79,4.78,0.01,0.2092,39657110,189272039.95
2019-05-06,'000717,…ÿ∏÷À……Ω,4.78,5.07,4.71,5.01,5.17,-0.39,-7.5435,40480450,198358379.02
2019-04-30,'000717,…ÿ∏÷À……Ω,5.17,5.23,5.08,5.1,5.07,0.1,1.9724,27195803,140536410.72
2019-04-29,'000717,…ÿ∏÷À……Ω,5.07,5.24,5.06,5.21,5.21,-0.14,-2.6871,29171740,149542586.68
2019-04-26,'000717,…ÿ∏÷À……Ω,5.21,5.42,5.16,5.4,5.39,-0.18,-3.3395,42140302,221574347.42
2019-04-25,'000717,…ÿ∏÷À……Ω,5.39,5.64,5.37,5.6,5.64,-0.25,-4.4326,37660300,207628855.99
2019-04-24,'000717,…ÿ∏÷À……Ω,5.64,5.64,5.5,5.57,5.56,0.08,1.4388,31844447,177927470.62
2019-04-23,'000717,…ÿ∏÷À……Ω,5.56,5.72,5.56,5.71,5.71,-0.15,-2.627,38093757,214486544.38
2019-04-22,'000717,…ÿ∏÷À……Ω,5.71,5.89,5.7,5.88,5.9,-0.19,-3.2203,50038744,288964880.09
2019-04-19,'000717,…ÿ∏÷À……Ω,5.9,5.91,5.73,5.85,5.88,0.02,0.3401,50105072,292131785.9
2019-04-18,'000717,…ÿ∏÷À……Ω,5.88,5.94,5.78,5.83,5.84,0.04,0.6849,53056808,311826833.88
2019-04-17,'000717,…ÿ∏÷À……Ω,5.84,5.89,5.8,5.86,5.88,-0.04,-0.6803,50532482,294944028.83
2019-04-16,'000717,…ÿ∏÷À……Ω,5.88,5.88,5.67,5.7,5.77,0.11,1.9064,64576157,374379002.9
2019-04-15,'000717,…ÿ∏÷À……Ω,5.77,5.95,5.75,5.89,5.89,-0.12,-2.0374,84586488,497631648.98
2019-04-12,'000717,…ÿ∏÷À……Ω,5.89,6.01,5.82,6.01,6.08,-0.19,-3.125,89956834,530529907.14
2019-04-11,'000717,…ÿ∏÷À……Ω,6.08,6.25,6.06,6.21,6.23,-0.15,-2.4077,69315428,424923904.02
2019-04-10,'000717,…ÿ∏÷À……Ω,6.23,6.33,6.1,6.31,6.42,-0.19,-2.9595,111307627,692005081.34
2019-04-09,'000717,…ÿ∏÷À……Ω,6.42,6.6,6.3,6.6,6.56,-0.14,-2.1341,203329907,1306103660.24
2019-04-08,'000717,…ÿ∏÷À……Ω,6.56,6.56,5.95,6.0,5.96,0.6,10.0671,270844858,1695970575.23
2019-04-04,'000717,…ÿ∏÷À……Ω,5.96,6.09,5.9,5.99,5.98,-0.02,-0.3344,91916151,549268410.68
2019-04-03,'000717,…ÿ∏÷À……Ω,5.98,5.98,5.83,5.86,5.89,0.09,1.528,93046341,552440300.13
2019-04-02,'000717,…ÿ∏÷À……Ω,5.89,5.93,5.81,5.92,5.91,-0.02,-0.3384,60041870,352278824.06
2019-04-01,'000717,…ÿ∏÷À……Ω,5.91,5.94,5.73,5.73,5.71,0.2,3.5026,72351573,423971231.58
2019-03-29,'000717,…ÿ∏÷À……Ω,5.71,5.73,5.48,5.6,5.59,0.12,2.1467,59791554,336899015.97
2019-03-28,'000717,…ÿ∏÷À……Ω,5.59,5.68,5.58,5.68,5.72,-0.13,-2.2727,31719903,178161282.78
2019-03-27,'000717,…ÿ∏÷À……Ω,5.72,5.74,5.6,5.7,5.66,0.06,1.0601,30297249,171637940.66
2019-03-26,'000717,…ÿ∏÷À……Ω,5.66,5.89,5.58,5.82,5.76,-0.1,-1.7361,47760991,274508019.52
2019-03-25,'000717,…ÿ∏÷À……Ω,5.76,5.89,5.76,5.8,5.95,-0.19,-3.1933,37990938,221215308.38
2019-03-22,'000717,…ÿ∏÷À……Ω,5.95,5.99,5.88,5.97,5.97,-0.02,-0.335,40052698,237390299.5
2019-03-21,'000717,…ÿ∏÷À……Ω,5.97,6.04,5.95,6.03,6.02,-0.05,-0.8306,46917398,281245767.99
2019-03-20,'000717,…ÿ∏÷À……Ω,6.02,6.1,5.88,6.01,6.02,0.0,0.0,60818987,364326270.08
2019-03-19,'000717,…ÿ∏÷À……Ω,6.02,6.19,5.98,6.15,6.18,-0.16,-2.589,77965339,471765673.31
2019-03-18,'000717,…ÿ∏÷À……Ω,6.18,6.26,5.84,5.86,5.83,0.35,6.0034,122106307,740035604.89
2019-03-15,'000717,…ÿ∏÷À……Ω,5.83,5.87,5.72,5.73,5.74,0.09,1.5679,42919110,248738044.55
2019-03-14,'000717,…ÿ∏÷À……Ω,5.74,5.9,5.6,5.66,5.67,0.07,1.2346,49977820,288172347.33
2019-03-13,'000717,…ÿ∏÷À……Ω,5.67,5.8,5.66,5.8,5.8,-0.13,-2.2414,40094328,229362746.82
2019-03-12,'000717,…ÿ∏÷À……Ω,5.8,5.9,5.7,5.88,5.78,0.02,0.346,56177400,326772352.95
2019-03-11,'000717,…ÿ∏÷À……Ω,5.78,5.79,5.6,5.63,5.65,0.13,2.3009,38466594,220509682.09
2019-03-08,'000717,…ÿ∏÷À……Ω,5.65,5.99,5.63,5.99,6.07,-0.42,-6.9193,78387013,456006121.66
2019-03-07,'000717,…ÿ∏÷À……Ω,6.07,6.15,6.03,6.03,6.11,-0.04,-0.6547,76440211,463385860.01
2019-03-06,'000717,…ÿ∏÷À……Ω,6.11,6.22,5.93,5.99,6.0,0.11,1.8333,108370768,659135589.51
2019-03-05,'000717,…ÿ∏÷À……Ω,6.0,6.02,5.9,5.99,6.05,-0.05,-0.8264,63612922,378913101.08
2019-03-04,'000717,…ÿ∏÷À……Ω,6.05,6.17,5.95,6.02,5.96,0.09,1.5101,97135645,586946511.49
2019-03-01,'000717,…ÿ∏÷À……Ω,5.96,5.97,5.81,5.87,5.84,0.12,2.0548,66812003,394586754.8
2019-02-28,'000717,…ÿ∏÷À……Ω,5.84,5.86,5.77,5.8,5.8,0.04,0.6897,43860057,254858473.28
2019-02-27,'000717,…ÿ∏÷À……Ω,5.8,5.96,5.73,5.83,5.89,-0.09,-1.528,87201566,510272814.17
2019-02-26,'000717,…ÿ∏÷À……Ω,5.89,6.21,5.64,5.78,5.8,0.09,1.5517,137955931,819407590.04
2019-02-25,'000717,…ÿ∏÷À……Ω,5.8,5.8,5.47,5.57,5.53,0.27,4.8825,111180077,630171422.75
2019-02-22,'000717,…ÿ∏÷À……Ω,5.53,5.54,5.42,5.42,5.43,0.1,1.8416,49459591,271539487.93
2019-02-21,'000717,…ÿ∏÷À……Ω,5.43,5.57,5.41,5.55,5.55,-0.12,-2.1622,61519244,337862059.2
2019-02-20,'000717,…ÿ∏÷À……Ω,5.55,5.68,5.38,5.48,5.5,0.05,0.9091,66800814,371719980.21
2019-02-19,'000717,…ÿ∏÷À……Ω,5.5,5.59,5.36,5.43,5.32,0.18,3.3835,98885870,541446444.44
2019-02-18,'000717,…ÿ∏÷À……Ω,5.32,5.34,5.16,5.18,5.12,0.2,3.9063,51836317,272774659.9
2019-02-15,'000717,…ÿ∏÷À……Ω,5.12,5.26,5.11,5.23,5.26,-0.14,-2.6616,40437985,209697697.48
2019-02-14,'000717,…ÿ∏÷À……Ω,5.26,5.36,5.21,5.21,5.26,0.0,0.0,53102736,280641616.02
2019-02-13,'000717,…ÿ∏÷À……Ω,5.26,5.29,5.08,5.13,5.15,0.11,2.1359,64922115,337506704.13
2019-02-12,'000717,…ÿ∏÷À……Ω,5.15,5.17,5.02,5.05,5.08,0.07,1.378,48912222,248893622.78
2019-02-11,'000717,…ÿ∏÷À……Ω,5.08,5.1,5.01,5.01,4.96,0.12,2.4194,36534642,184567918.0
2019-02-01,'000717,…ÿ∏÷À……Ω,4.96,4.97,4.86,4.88,4.86,0.1,2.0576,24996552,123231074.82
2019-01-31,'000717,…ÿ∏÷À……Ω,4.86,4.96,4.84,4.95,4.94,-0.08,-1.6194,29234887,143026039.06
2019-01-30,'000717,…ÿ∏÷À……Ω,4.94,5.05,4.94,4.96,5.06,-0.12,-2.3715,40090028,199914049.9
2019-01-29,'000717,…ÿ∏÷À……Ω,5.06,5.09,4.74,4.89,4.91,0.15,3.055,69561858,345677521.9
2019-01-28,'000717,…ÿ∏÷À……Ω,4.91,5.03,4.85,4.99,4.94,-0.03,-0.6073,27053162,133964942.72
2019-01-25,'000717,…ÿ∏÷À……Ω,4.94,5.05,4.93,4.94,4.9,0.04,0.8163,36491628,181854554.19
2019-01-24,'000717,…ÿ∏÷À……Ω,4.9,4.95,4.82,4.94,4.93,-0.03,-0.6085,24201499,118179219.08
2019-01-23,'000717,…ÿ∏÷À……Ω,4.93,4.97,4.9,4.95,4.96,-0.03,-0.6048,22640026,111691009.24
2019-01-22,'000717,…ÿ∏÷À……Ω,4.96,5.1,4.93,5.09,5.11,-0.15,-2.9354,41637779,208519353.37
2019-01-21,'000717,…ÿ∏÷À……Ω,5.11,5.16,5.03,5.15,5.14,-0.03,-0.5837,56714946,288144575.45
2019-01-18,'000717,…ÿ∏÷À……Ω,5.14,5.3,4.84,4.86,4.84,0.3,6.1983,100701518,509915990.05
2019-01-17,'000717,…ÿ∏÷À……Ω,4.84,4.93,4.79,4.81,4.79,0.05,1.0438,46916496,228129087.26
2019-01-16,'000717,…ÿ∏÷À……Ω,4.79,4.82,4.75,4.8,4.81,-0.02,-0.4158,18329030,87731275.89
2019-01-15,'000717,…ÿ∏÷À……Ω,4.81,4.81,4.73,4.77,4.8,0.01,0.2083,26738326,127483287.44
2019-01-14,'000717,…ÿ∏÷À……Ω,4.8,4.89,4.66,4.66,4.66,0.14,3.0043,52444051,252558563.71
2019-01-11,'000717,…ÿ∏÷À……Ω,4.66,4.67,4.6,4.63,4.62,0.04,0.8658,15529301,72024098.63
2019-01-10,'000717,…ÿ∏÷À……Ω,4.62,4.7,4.61,4.67,4.68,-0.06,-1.2821,18680540,86830750.78
2019-01-09,'000717,…ÿ∏÷À……Ω,4.68,4.8,4.65,4.65,4.65,0.03,0.6452,35253490,166633704.74
2019-01-08,'000717,…ÿ∏÷À……Ω,4.65,4.69,4.63,4.69,4.71,-0.06,-1.2739,15954245,74328695.06
2019-01-07,'000717,…ÿ∏÷À……Ω,4.71,4.72,4.61,4.65,4.65,0.06,1.2903,28842227,134652632.78
2019-01-04,'000717,…ÿ∏÷À……Ω,4.65,4.65,4.43,4.5,4.53,0.12,2.649,29382960,134033017.16
2019-01-03,'000717,…ÿ∏÷À……Ω,4.53,4.55,4.46,4.49,4.47,0.06,1.3423,19125040,86347428.2
2019-01-02,'000717,…ÿ∏÷À……Ω,4.47,4.59,4.46,4.57,4.55,-0.08,-1.7582,15300900,68949716.0
2018-12-28,'000717,…ÿ∏÷À……Ω,4.55,4.64,4.53,4.59,4.57,-0.02,-0.4376,14102806,64441113.59
2018-12-27,'000717,…ÿ∏÷À……Ω,4.57,4.69,4.56,4.66,4.59,-0.02,-0.4357,21057235,97780915.69
2018-12-26,'000717,…ÿ∏÷À……Ω,4.59,4.67,4.55,4.64,4.64,-0.05,-1.0776,15810458,72842838.39
2018-12-25,'000717,…ÿ∏÷À……Ω,4.64,4.81,4.51,4.81,4.88,-0.24,-4.918,36354229,168487895.81
2018-12-24,'000717,…ÿ∏÷À……Ω,4.88,4.91,4.81,4.89,4.92,-0.04,-0.813,15281779,74418337.65
2018-12-21,'000717,…ÿ∏÷À……Ω,4.92,4.94,4.87,4.94,4.95,-0.03,-0.6061,14192636,69506621.38
2018-12-20,'000717,…ÿ∏÷À……Ω,4.95,4.97,4.88,4.93,4.92,0.03,0.6098,15276773,75311459.15
2018-12-19,'000717,…ÿ∏÷À……Ω,4.92,5.02,4.91,5.01,5.0,-0.08,-1.6,14605144,72441304.53
2018-12-18,'000717,…ÿ∏÷À……Ω,5.0,5.06,4.97,5.0,5.05,-0.05,-0.9901,17820198,89215171.51
2018-12-17,'000717,…ÿ∏÷À……Ω,5.05,5.07,5.0,5.01,5.03,0.02,0.3976,15942460,80418486.81
2018-12-14,'000717,…ÿ∏÷À……Ω,5.03,5.22,5.03,5.22,5.21,-0.18,-3.4549,30745443,157124517.15
2018-12-13,'000717,…ÿ∏÷À……Ω,5.21,5.24,5.08,5.15,5.12,0.09,1.7578,36212089,187728277.58
2018-12-12,'000717,…ÿ∏÷À……Ω,5.12,5.15,5.06,5.07,5.04,0.08,1.5873,21051779,107777356.09
2018-12-11,'000717,…ÿ∏÷À……Ω,5.04,5.07,5.01,5.06,5.01,0.03,0.5988,13000484,65465216.44
2018-12-10,'000717,…ÿ∏÷À……Ω,5.01,5.12,4.97,5.1,5.12,-0.11,-2.1484,21097587,106275072.18
2018-12-07,'000717,…ÿ∏÷À……Ω,5.12,5.15,5.11,5.12,5.12,0.0,0.0,15168517,77822382.04
2018-12-06,'000717,…ÿ∏÷À……Ω,5.12,5.23,5.11,5.2,5.25,-0.13,-2.4762,25885539,133603505.63
2018-12-05,'000717,…ÿ∏÷À……Ω,5.25,5.32,5.09,5.14,5.26,-0.01,-0.1901,40725366,211706125.52
2018-12-04,'000717,…ÿ∏÷À……Ω,5.26,5.34,5.06,5.08,5.08,0.18,3.5433,55576128,290771233.56
2018-12-03,'000717,…ÿ∏÷À……Ω,5.08,5.14,5.02,5.11,4.94,0.14,2.834,35176649,178581842.57
2018-11-30,'000717,…ÿ∏÷À……Ω,4.94,4.97,4.86,4.91,4.9,0.04,0.8163,24331191,119512108.51
2018-11-29,'000717,…ÿ∏÷À……Ω,4.9,5.09,4.9,5.08,5.05,-0.15,-2.9703,25533200,127641732.68
2018-11-28,'000717,…ÿ∏÷À……Ω,5.05,5.06,4.89,5.03,5.04,0.01,0.1984,30251843,150862633.7
2018-11-27,'000717,…ÿ∏÷À……Ω,5.04,5.1,4.97,5.07,5.03,0.01,0.1988,26548971,133552433.49
2018-11-26,'000717,…ÿ∏÷À……Ω,5.03,5.24,5.01,5.2,5.27,-0.24,-4.5541,47654413,243129478.32
2018-11-23,'000717,…ÿ∏÷À……Ω,5.27,5.61,5.25,5.6,5.58,-0.31,-5.5556,38683775,209398910.81
2018-11-22,'000717,…ÿ∏÷À……Ω,5.58,5.63,5.56,5.61,5.65,-0.07,-1.2389,23364025,130637635.29
2018-11-21,'000717,…ÿ∏÷À……Ω,5.65,5.72,5.53,5.55,5.63,0.02,0.3552,43349532,243160007.04
2018-11-20,'000717,…ÿ∏÷À……Ω,5.63,5.84,5.62,5.68,5.74,-0.11,-1.9164,51008587,292725703.57
2018-11-19,'000717,…ÿ∏÷À……Ω,5.74,5.75,5.59,5.7,5.71,0.03,0.5254,50700245,285560830.69
2018-11-16,'000717,…ÿ∏÷À……Ω,5.71,5.8,5.69,5.78,5.77,-0.06,-1.0399,45097923,258508220.81
2018-11-15,'000717,…ÿ∏÷À……Ω,5.77,5.79,5.68,5.73,5.77,0.0,0.0,43998064,251673720.29
2018-11-14,'000717,…ÿ∏÷À……Ω,5.77,5.89,5.67,5.68,5.7,0.07,1.2281,69551763,403683093.51
2018-11-13,'000717,…ÿ∏÷À……Ω,5.7,5.73,5.52,5.55,5.64,0.06,1.0638,54327384,306646828.39
2018-11-12,'000717,…ÿ∏÷À……Ω,5.64,5.65,5.46,5.51,5.6,0.04,0.7143,46578020,257829112.12
2018-11-09,'000717,…ÿ∏÷À……Ω,5.6,5.68,5.58,5.64,5.69,-0.09,-1.5817,27953050,157288598.34
2018-11-08,'000717,…ÿ∏÷À……Ω,5.69,5.78,5.65,5.76,5.72,-0.03,-0.5245,29075351,165840291.4
2018-11-07,'000717,…ÿ∏÷À……Ω,5.72,5.83,5.7,5.76,5.84,-0.12,-2.0548,56099386,323598401.36
2018-11-06,'000717,…ÿ∏÷À……Ω,5.84,5.92,5.76,5.91,5.97,-0.13,-2.1776,49934711,291148590.66
2018-11-05,'000717,…ÿ∏÷À……Ω,5.97,6.08,5.86,6.02,6.09,-0.12,-1.9704,56955985,339627117.36
2018-11-02,'000717,…ÿ∏÷À……Ω,6.09,6.1,5.92,6.0,5.94,0.15,2.5253,58281991,350181392.71
2018-11-01,'000717,…ÿ∏÷À……Ω,5.94,6.18,5.92,6.1,6.01,-0.07,-1.1647,61240627,369805988.0
2018-10-31,'000717,…ÿ∏÷À……Ω,6.01,6.05,5.82,5.91,5.92,0.09,1.5203,55041179,327681985.35
2018-10-30,'000717,…ÿ∏÷À……Ω,5.92,6.01,5.73,5.82,5.97,-0.05,-0.8375,50983499,299823976.53
2018-10-29,'000717,…ÿ∏÷À……Ω,5.97,6.08,5.93,6.06,6.11,-0.14,-2.2913,35967207,215201691.15
2018-10-26,'000717,…ÿ∏÷À……Ω,6.11,6.29,5.95,5.95,5.9,0.21,3.5593,74119881,453276526.45
2018-10-25,'000717,…ÿ∏÷À……Ω,5.9,5.92,5.67,5.71,5.92,-0.02,-0.3378,38552925,222960774.13
